Reporting year,Remoteness Area,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2015–16,Major cities,Persons,Acute PPH,Perforated/bleeding ulcer,17011458,22,23,"3,964",375,9.4,"25,276",6.4
2015–16,Major cities,Females,Acute PPH,Perforated/bleeding ulcer,8596512,16,19,"1,611",176,10.9,"10,625",6.6
2015–16,Major cities,Females,Acute PPH,Pneumonia (not vaccine-preventable),8596512,14,14,"1,212",35,2.9,"7,716",6.4
2015–16,Major cities,Males,Acute PPH,Pneumonia (not vaccine-preventable),8414945,16,16,"1,331",50,3.7,"9,268",7.0
2015–16,Major cities,Persons,Acute PPH,Pneumonia (not vaccine-preventable),17011458,15,15,"2,543",85,3.3,"16,983",6.7
2015–16,Major cities,Persons,Acute PPH,Total acute,17011458,"1,164","1,199","204,043","83,969",41.2,"677,567",3.3
2015–16,Major cities,Males,Acute PPH,Total acute,8414945,"1,121","1,122","94,376","38,539",40.8,"319,177",3.4
2015–16,Major cities,Females,Acute PPH,Total acute,8596512,"1,208","1,276","109,665","45,429",41.4,"358,387",3.3
2015–16,Major cities,Females,Acute PPH,"Urinary tract infections, including pyelonephritis",8596512,358,402,"34,577","9,866",28.5,"125,991",3.6
2015–16,Major cities,Males,Acute PPH,"Urinary tract infections, including pyelonephritis",8414945,195,195,"16,368","3,926",24.0,"70,997",4.3
2015–16,Major cities,Persons,Acute PPH,"Urinary tract infections, including pyelonephritis",17011458,278,299,"50,946","13,792",27.1,"196,990",3.9
2015–16,Major cities,Males,Acute and vaccine preventable PPH,Total acute and vaccine preventable,8414945,"1,342","1,344","113,099","42,990",38.0,"443,152",3.9
2015–16,Major cities,Persons,Acute and vaccine preventable PPH,Total acute and vaccine preventable,17011458,"1,367","1,412","240,129","92,126",38.4,"905,555",3.8
2015–16,Major cities,Females,Acute and vaccine preventable PPH,Total acute and vaccine preventable,8596512,"1,395","1,478","127,021","49,131",38.7,"462,389",3.6
2015–16,Major cities,Females,Chronic PPH,Angina,8596512,86,99,"8,514","3,403",40.0,"17,850",2.1
2015–16,Major cities,Persons,Chronic PPH,Angina,17011458,119,128,"21,844","9,010",41.2,"43,302",2.0
2015–16,Major cities,Males,Chronic PPH,Angina,8414945,157,158,"13,330","5,607",42.1,"25,452",1.9
2015–16,Major cities,Males,Chronic PPH,Asthma,8414945,111,108,"9,059","3,272",36.1,"15,093",1.7
2015–16,Major cities,Persons,Chronic PPH,Asthma,17011458,131,128,"21,750","7,331",33.7,"45,684",2.1
2015–16,Major cities,Females,Chronic PPH,Asthma,8596512,148,148,"12,691","4,059",32.0,"30,591",2.4
2015–16,Major cities,Females,Chronic PPH,Bronchiectasis,8596512,34,39,"3,387",807,23.8,"22,175",6.5
2015–16,Major cities,Males,Chronic PPH,Bronchiectasis,8414945,16,16,"1,370",210,15.3,"10,305",7.5
2015–16,Major cities,Persons,Chronic PPH,Bronchiectasis,17011458,26,28,"4,756","1,017",21.4,"32,480",6.8
2015–16,Major cities,Persons,Chronic PPH,COPD,17011458,234,255,"43,394","4,770",11.0,"240,204",5.5
2015–16,Major cities,Males,Chronic PPH,COPD,8414945,260,258,"21,730","2,477",11.4,"116,307",5.4
2015–16,Major cities,Females,Chronic PPH,COPD,8596512,216,252,"21,664","2,294",10.6,"123,898",5.7
2015–16,Major cities,Females,Chronic PPH,Congestive cardiac failure,8596512,172,230,"19,810","1,922",9.7,"138,063",7.0
2015–16,Major cities,Males,Chronic PPH,Congestive cardiac failure,8414945,259,256,"21,524","2,569",11.9,"140,988",6.6
2015–16,Major cities,Persons,Chronic PPH,Congestive cardiac failure,17011458,211,243,"41,333","4,492",10.9,"279,051",6.8
2015–16,Major cities,Males,Chronic PPH,Diabetes complications,8414945,217,218,"18,358","6,049",33.0,"102,646",5.6
2015–16,Major cities,Persons,Chronic PPH,Diabetes complications,17011458,172,179,"30,479","9,681",31.8,"158,836",5.2
2015–16,Major cities,Females,Chronic PPH,Diabetes complications,8596512,132,141,"12,122","3,632",30.0,"56,190",4.6
2015–16,Major cities,Females,Chronic PPH,Hypertension,8596512,45,52,"4,502","1,525",33.9,"11,225",2.5
2015–16,Major cities,Males,Chronic PPH,Hypertension,8414945,25,25,"2,067",661,32.0,"4,905",2.4
2015–16,Major cities,Persons,Chronic PPH,Hypertension,17011458,36,39,"6,569","2,186",33.3,"16,130",2.5
2015–16,Major cities,Males,Chronic PPH,Iron deficiency anaemia,8414945,145,144,"12,087","9,242",76.5,"18,993",1.6
2015–16,Major cities,Persons,Chronic PPH,Iron deficiency anaemia,17011458,205,214,"36,434","29,325",80.5,"53,256",1.5
2015–16,Major cities,Females,Chronic PPH,Iron deficiency anaemia,8596512,265,283,"24,347","20,083",82.5,"34,264",1.4
2015–16,Major cities,Females,Chronic PPH,Nutritional deficiencies,8596512,3,3,256,9,3.5,"3,328",13.0
2015–16,Major cities,Persons,Chronic PPH,Nutritional deficiencies,17011458,3,3,487,14,2.9,"6,317",13.0
2015–16,Major cities,Males,Chronic PPH,Nutritional deficiencies,8414945,3,3,231,5,2.2,"2,988",12.9
2015–16,Major cities,Persons,Chronic PPH,Rheumatic heart disease,17011458,12,13,"2,218",747,33.7,"17,297",7.8
2015–16,Major cities,Males,Chronic PPH,Rheumatic heart disease,8414945,12,12,"1,013",355,35.0,"8,086",8.0
2015–16,Major cities,Females,Chronic PPH,Rheumatic heart disease,8596512,13,14,"1,205",393,32.6,"9,211",7.6
2015–16,Major cities,Females,Chronic PPH,Total chronic,8596512,"1,113","1,262","108,491","38,126",35.1,"446,718",4.1
2015–16,Major cities,Persons,Chronic PPH,Total chronic,17011458,"1,147","1,230","209,257","68,572",32.8,"892,455",4.3
